model,acc
simclr-v1,74.90 
moco-v2,74.91
swav,70.94
byol,74.58
pirl,75.26	
supervised_r50,75.70 
supervised_r18,74.59 
supervised_d121,77.12	
mimic-chexpert_lr_0.01,62.72 
mimic-chexpert_lr_0.1,62.87
mimic-chexpert_lr_1.0,65.05 
moco-cxr_r18,60.08
moco-cxr_d121,68.17 
