model,acc
simclr-v1,32.78
moco-v2,34.07
swav,34.47
byol,33.66
pirl,34.19	
supervised_r50,31.32 
supervised_r18,32.96 
supervised_d121,33.49	
mimic-chexpert_lr_0.01,22.56 
mimic-chexpert_lr_0.1,25.71
mimic-chexpert_lr_1.0,22.23 
moco-cxr_r18,24.27
moco-cxr_d121,27.78 
